"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"TPD";
"1";"0";"R-US_0207/10";"0207/10";"R10";"RESISTOR, American symbol";"";"";"";"";"";
"32";"0.1uF";"C-US025-024X044";"C025-024X044";"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C31, C36, C37";"CAPACITOR, American symbol";"";"";"";"";"";
"1";"1.2k";"R-US_0207/10";"0207/10";"R6";"RESISTOR, American symbol";"";"";"";"";"";
"1";"1.8432MHz";"OSC-OE";"DIL08S";"Y1";"";"";"";"";"";"";
"2";"10";"E4R";"SIL8";"RN1, RN2";"SIL RESISTOR";"";"";"unknown";"unknown";"";
"3";"100k";"R-US_0207/10";"0207/10";"R2, R3, R4";"RESISTOR, American symbol";"";"";"";"";"";
"1";"10k";"G08R";"SIL9";"RN3";"SIL RESISTOR";"";"";"unknown";"unknown";"";
"5";"10k";"R-US_0207/10";"0207/10";"R1, R5, R7, R8, R9";"RESISTOR, American symbol";"";"";"";"";"";
"1";"10nF";"C-US025-024X044";"C025-024X044";"C30";"CAPACITOR, American symbol";"";"";"";"";"";
"3";"10uF";"CPOL-USE2.5-5";"E2,5-5";"C33, C34, C35";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";
"2";"16C550";"16C550S44";"S44";"U26, U27";"";"";"";"";"";"";
"4";"1X2-THRU";"1X2-THRU";"1X2";"JP1, JP2, JP3, JP4";"";"";"";"";"";"";
"1";"1X3";"1X3";"1X3";"J4";"";"";"";"";"";"";
"3";"2N5088";"2N5088";"TO92";"Q1, Q2, Q3";"";"";"";"";"";"";
"1";"33uF";"CPOL-USE2.5-6";"E2,5-6";"C32";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";
"1";"555";"NE555";"DIL-08";"U1";"General purpose bipolar Timer";"Arrow Electronics";"NE555N";"1467742";"89K1486";"";
"1";"74ABT244N";"74ABT244-1SN";"DIL20";"U22";"";"";"";"";"";"6.6ns";
"1";"74ABT245N";"74ABT245N";"DIL20";"U25";"Octal BUS TRANSCEIVER, 3-state";"";"";"";"";"7.2ns";
"2";"74F138N";"74F138N";"DIL16";"U8, U9";"3-line to 8-line DECODER/DEMULTIPLEXER";"";"";"";"";"9ns";
"2";"74HCT04N";"74HCT04N";"DIL14";"U4, U23";"Hex INVERTER";"";"";"";"";"24ns";
"1";"74HCT08N";"74HCT08N";"DIL14";"U7";"Quad 2-input AND gate";"";"";"";"";"30ns";
"1";"74HCT10N";"74HCT10N";"DIL14";"U3";"Triple 3-input NAND gate";"";"";"";"";"30ns";
"1";"74HCT14N";"74HCT14N";"DIL14";"U15";"Hex schmitt trigger INVERTER";"";"";"";"";"43ns";
"2";"74HCT164N";"74HCT164N";"DIL14";"U12, U13";"8-bit parallel out SHIFT REGISTER";"";"";"";"";"48ns";
"2";"74HCT165N";"74HCT165N";"DIL16";"U20, U21";"8-bit parallel load SHIFT REGISTER";"";"";"";"";"43ns";
"1";"74HCT240N";"74HCT240-1SN";"DIL20";"U18";"";"";"";"";"";"38ns";
"2";"74HCT244N";"74HCT244-1SN";"DIL20";"U16, U17";"";"";"";"";"";"38ns";
"1";"74HCT273N";"74HCT273N";"DIL20";"U11";"Octal D type FLIP FLOP, clear";"";"";"";"";"38ns";
"2";"74HCT280N";"74HCT280N";"DIL14";"U10, U19";"9-bit odd/even PARITY GENERATOR/CHECKER";"";"";"";"";"53ns";
"3";"74HCT74N";"74HCT74N";"DIL14";"U5, U6, U14";"Dual D type positive edge triggered FLIP FLOP, preset and clear";"";"";"";"";"50ns";
"1";"74HCT86N";"74HCT86N";"DIL14";"U2";"Quad 2-input EXCLUSIV-OR (XOR) gate";"";"";"";"";"14ns";
"2";"75185N";"75C185N";"DIL20";"U28, U29";"";"";"";"";"";"";
"2";"DSUB-9M-PH";"DSUB-9M-PH";"DSUB-9M-H";"J1, J2";"";"";"";"";"";"";
"1";"MINI-DIN6";"MINI-DIN6";"MINI-DIN6";"J3";"";"";"";"";"";"";
"1";"TC962";"TC962";"DIL8";"U24";"";"";"";"";"";"";
"2";"TP-040";"TP-040";"TP-040";"TP1, TP2";"Test Point";"";"";"";"";"";
"1";"VN2106";"VN2106";"TO92";"Q4";"";"";"";"";"";"";
"1";"XMICRO-BUS-EDGE";"XMICRO-BUS-EDGE";"EDGE62M";"P1";"XMICRO Bus";"";"";"";"";"";
