"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"32";"0.1uF";"C-US100";"C100";"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C32, C33, C34, C35";"";"";"";"";"";
"1";"0.1uF";"CPOL-USE2.5-6";"E2,5-6";"C30";"POLARIZED CAPACITOR, American symbol";"";"";"";"";
"1";"1.2k";"R-US_0207/10";"0207/10";"R7";"RESISTOR, American symbol";"";"";"";"";
"1";"1.8432MHz";"OSC-OE";"DIL08S";"Y1";"";"";"";"";"";
"3";"100k";"R-US_0207/10";"0207/10";"R2, R3, R5";"RESISTOR, American symbol";"";"";"";"";
"2";"100uF";"CPOL-USE2.5-7";"E2,5-7";"C36, C37";"POLARIZED CAPACITOR, American symbol";"";"";"";"";
"1";"10k";"G08R";"SIL9";"RN1";"SIL RESISTOR";"";"";"unknown";"unknown";
"5";"10k";"R-US_0207/10";"0207/10";"R1, R4, R6, R8, R9";"RESISTOR, American symbol";"";"";"";"";
"1";"10nF";"C-US100";"C100";"C29";"";"";"";"";"";
"2";"16550";"16C550S44";"S44";"U24, U25";"";"";"";"";"";
"1";"220uF";"CPOL-US-10-5";"C-10-5";"C31";"";"";"";"";"";
"3";"2N5088";"TRANSISTOR-NPN-2N5088";"TO92";"Q1, Q2, Q3";"";"";"";"";"";
"1";"555";"NE555";"DIL-08";"U1";"General purpose bipolar Timer";"Arrow Electronics";"NE555N";"1467742";"89K1486";
"2";"7404";"74LS04N";"DIL14";"U4, U22";"Hex INVERTER";"";"";"";"";
"1";"7408";"74LS08N";"DIL14";"U7";"Quad 2-input AND gate";"";"";"";"";
"1";"7410";"74LS10N";"DIL14";"U3";"Triple 3-input NAND gate";"";"";"";"";
"2";"74138";"74LS138N";"DIL16";"U8, U9";"3-line to 8-line DECODER/DEMULTIPLEXER";"";"";"";"";
"1";"7414";"74LS14N";"DIL14";"U28";"Hex schmitt trigger INVERTER";"";"";"";"";
"2";"74164";"74HCT164N";"DIL14";"U12, U13";"8-bit parallel out SHIFT REGISTER";"";"";"";"";
"2";"74165";"74LS165N";"DIL16";"U19, U20";"8-bit parallel load SHIFT REGISTER";"";"";"";"";
"1";"74240";"74LS240N";"DIL20";"U17";"Octal BUFFER and LINE DRIVER, 3-state";"";"";"";"";
"3";"74244";"74LS244N";"DIL20";"U15, U16, U21";"Octal BUFFER and LINE DRIVER, 3-state";"";"";"";"";
"1";"74245";"74LS245N";"DIL20";"U23";"Octal BUS TRANSCEIVER, 3-state";"";"";"";"";
"1";"74273";"74273N";"DIL20";"U11";"Octal D type FLIP FLOP, clear";"";"";"";"";
"2";"74280";"74LS280N";"DIL14";"U10, U18";"9-bit odd/even PARITY GENERATOR/CHECKER";"";"";"";"";
"3";"7474";"74LS74N";"DIL14";"U5, U6, U14";"Dual D type positive edge triggered FLIP FLOP, preset and clear";"";"";"";"";
"1";"7486";"74LS86N";"DIL14";"U2";"Quad 2-input EXCLUSIV-OR (XOR) gate";"";"";"";"";
"2";"75185";"75C185N";"DIL20";"U26, U27";"";"";"";"";"";
"2";"D9-MPH";"D9-MPH";"D9-H";"J1, J2";"";"";"";"";"";
"1";"MINI-DIN6";"MINI-DIN6";"MINI-DIN6";"J3";"";"";"";"";"";
"2";"PINHD-1X1";"PINHD-1X1";"1X01";"TP1, TP2";"";"";"";"";"";
"7";"PINHD-1X2THRU";"PINHD-1X2THRU";"1X02";"JP1, JP2, JP3, JP4, JP5, JP6, JP7";"";"";"";"";"";
"2";"PINHD1X3";"PINHD1X3";"1X03";"J4, J5";"";"";"";"";"";
"1";"XMICRO-BUS-EDGE62M";"XMICRO-BUS-EDGE62M";"EDGE62M";"CE0";"";"";"";"";"";
